canonical_skill,category,in_resume,in_jd,source_coverage,resume_record_count,jd_record_count
pytest,Quality & Workflow,yes,yes,resume+jd,19,27
Selenium,Quality & Workflow,yes,yes,resume+jd,5,40
CSS3,Frontend & UI,yes,yes,resume+jd,3,41
Azure OpenAI,AI / ML,yes,yes,resume+jd,1,39
Jest,Quality & Workflow,yes,yes,resume+jd,2,34
Cypress,Quality & Workflow,yes,yes,resume+jd,2,33
Keras,AI / ML,yes,yes,resume+jd,4,30
Visual Studio,Quality & Workflow,yes,yes,resume+jd,1,33
MATLAB,Programming Languages,yes,yes,resume+jd,2,29
Context Engineering,AI / ML,yes,yes,resume+jd,2,28
Time Series Analysis,Data & Analytics,yes,yes,resume+jd,1,24
Experiment Design,Data & Analytics,yes,yes,resume+jd,1,22
Software Test Engineering,Quality & Workflow,yes,yes,resume+jd,8,15
Large-Scale Systems,Architecture / Systems,yes,yes,resume+jd,1,21
Webpack,Frontend & UI,yes,yes,resume+jd,1,21
DB2,Databases / Storage / Streaming,yes,yes,resume+jd,1,20
.NET / C#,Backend & APIs,yes,yes,resume+jd,1,19
Vite,Frontend & UI,yes,yes,resume+jd,4,13
Tailwind,Frontend & UI,yes,yes,resume+jd,1,15
Design Review,Quality & Workflow,yes,yes,resume+jd,4,9
NestJS,Backend & APIs,yes,yes,resume+jd,2,10
VB.NET,Programming Languages,yes,yes,resume+jd,1,11
OpenAI API,AI / ML,yes,yes,resume+jd,2,9
ASP.NET MVC,Backend & APIs,yes,yes,resume+jd,1,8
LLM Application Development,AI / ML,yes,yes,resume+jd,1,8
SSMS,Databases / Storage / Streaming,yes,yes,resume+jd,1,5
Android SDK,Frontend & UI,yes,yes,resume+jd,1,4
Jetpack Compose,Frontend & UI,yes,yes,resume+jd,1,3
Azure Blob Storage,Databases / Storage / Streaming,yes,yes,resume+jd,1,2
Network Protocol,Architecture / Systems,yes,no,resume_only,3,0
Material Design,Frontend & UI,yes,yes,resume+jd,1,1
Retrieval Evaluation,AI / ML,yes,yes,resume+jd,1,1
Dashboard Automation,Data & Analytics,yes,no,resume_only,1,0
KPI Measurement,Data & Analytics,yes,no,resume_only,1,0
