canonical_skill,category,total_mentions,resume_record_count,jd_record_count,source_coverage,raw_variants
Ansible,Cloud / DevOps / Infrastructure,82,2,57,resume+jd,Ansible
GitLab CI,Cloud / DevOps / Infrastructure,60,7,39,resume+jd,"GitLab CI, Gitlab Ci"
Kafka,Databases / Storage / Streaming,968,574,273,resume+jd,Kafka
PostgreSQL,Databases / Storage / Streaming,913,584,213,resume+jd,PostgreSQL
Redis,Databases / Storage / Streaming,627,484,101,resume+jd,Redis
MySQL,Databases / Storage / Streaming,676,401,179,resume+jd,MySQL
S3,Databases / Storage / Streaming,600,370,154,resume+jd,S3
NoSQL,Databases / Storage / Streaming,490,65,292,resume+jd,"NoSQL, NoSQL Databases, NoSQL databases"
Relational Databases,Databases / Storage / Streaming,428,0,282,jd_only,"Relational Databases, Relational databases, relational databases"
MongoDB,Databases / Storage / Streaming,276,78,137,resume+jd,MongoDB
DynamoDB,Databases / Storage / Streaming,116,3,87,resume+jd,"DynamoDB, Dynamodb"
Redshift,Databases / Storage / Streaming,123,3,70,resume+jd,Redshift
Cassandra,Databases / Storage / Streaming,80,24,41,resume+jd,Cassandra
Elasticsearch,Databases / Storage / Streaming,76,5,48,resume+jd,Elasticsearch
Flink,Databases / Storage / Streaming,74,6,47,resume+jd,"Apache Flink, Flink"
DB2,Databases / Storage / Streaming,31,1,20,resume+jd,"DB2, Db2"
SSMS,Databases / Storage / Streaming,12,1,5,resume+jd,"SSMS, SSMs, Ssms"
Azure Blob Storage,Databases / Storage / Streaming,4,1,2,resume+jd,Azure Blob Storage
Algorithms,Architecture / Systems,1438,130,744,resume+jd,Algorithms
Distributed Systems,Architecture / Systems,997,79,531,resume+jd,"Distributed Systems, Distributed systems, distributed systems"
Data Structures,Architecture / Systems,801,124,423,resume+jd,"Data Structures, Data structures, data structures"
System Design,Architecture / Systems,377,41,217,resume+jd,System Design
Networking,Architecture / Systems,326,11,193,resume+jd,Networking
Embedded Systems,Architecture / Systems,253,25,145,resume+jd,"Embedded, Embedded Systems, Embedded systems, embedded systems"
Object-Oriented Programming,Architecture / Systems,283,0,168,jd_only,"Object-Oriented Programming, Object-Oriented programming, Object-oriented Programming, Object-oriented programming, object-oriented programming"
Large-Scale Systems,Architecture / Systems,35,1,21,resume+jd,Large-Scale Systems
Network Protocol,Architecture / Systems,3,3,0,resume_only,Network Protocol
Agile,Quality & Workflow,1064,27,629,resume+jd,Agile
Git,Quality & Workflow,843,160,483,resume+jd,Git
Version Control,Quality & Workflow,429,0,317,jd_only,Version Control
Scrum,Quality & Workflow,373,114,175,resume+jd,Scrum
Unit Testing,Quality & Workflow,233,48,133,resume+jd,Unit Testing
Jira,Quality & Workflow,180,34,116,resume+jd,Jira
Code Review,Quality & Workflow,165,13,109,resume+jd,Code Review
TDD,Quality & Workflow,109,34,49,resume+jd,TDD
Software Testing,Quality & Workflow,94,0,58,jd_only,Software Testing
JUnit,Quality & Workflow,68,18,39,resume+jd,"JUnit, Junit"
Playwright,Quality & Workflow,79,12,41,resume+jd,Playwright
pytest,Quality & Workflow,60,19,27,resume+jd,"PyTest, Pytest, pytest"
Selenium,Quality & Workflow,72,5,40,resume+jd,"Selenium, Selenium WebDriver, Selenium Webdriver"
Jest,Quality & Workflow,44,2,34,resume+jd,Jest
Cypress,Quality & Workflow,46,2,33,resume+jd,Cypress
Visual Studio,Quality & Workflow,51,1,33,resume+jd,Visual Studio
Software Test Engineering,Quality & Workflow,31,8,15,resume+jd,Software Test Engineering
Design Review,Quality & Workflow,16,4,9,resume+jd,Design Review
